o2sat,t_deg_c,salinity,depth_m,chlor_a,po4u_m,no2u_m
93.1,12.41,33.546,52,1.16,0.81,0.2
57.9,10.14,33.657,121,0.03,1.57,0.01
121.3,13.02,33.51,0,7.84,0.47,0.13
53.8,8.13,33.967,209,0,1.84,0.01
87.1,11.97,33.327,125,0.15,0.75,0.04
63.9,9.15,33.745,200,0,1.52,0
102.1,15.64,33.047,1,0.13,0.35,0
103.8,16.53,33.242,10,0.23,0.38,0.02
102.2,12.83,32.79,50,0.46,0.54,0.13
104.4,15.52,33.32,35,0.75,0.38,0.02
67.5,11.19,33.37,40,0.39,1.43,0.1
85,10.71,33.19,72,0.17,1.02,0.02
101.7,13.36,32.931,61,0.33,0.47,0.15
103.5,12.54,33.027,69,0.42,0.45,0.01
115.5,19.43,33.63,0,0.53,0.19,0.01
63.4,9.8,33.683,100,0.03,1.78,0.04
74.7,11.12,33.606,125,0.04,0.93,0
103,17.17,33.37,30,0.15,0.31,0
102.1,18.63,33.49,3,0.12,0.32,0
33.5,8.91,34.071,150,0.01,2.22,0.03
99.1,13.18,33.072,30,0.67,0.46,0.09
102.3,18.59,33.073,0,0.08,0.35,0
47.4,8.49,33.983,171,0.02,1.95,0.01
100.8,14.57,33.367,10,1.09,0.51,0.06
54.7,10.45,33.699,99,0.05,1.6,0.02
100.2,15.97,33.248,30,0.15,0.34,0
80.7,12.23,33.396,43,0.36,1.07,0.38
29.6,9.52,34.057,169,0.11,2.14,0.01
44.3,10.47,33.875,144,0.01,1.82,0.01
64.1,10.89,33.674,125,0.03,1.37,0.01
51,9.32,33.827,136,0,1.56,0
45.23,8.929,33.8621,170,0.003,1.87,0
107.1,19.45,33.521,1,0.7,0.2,0
101.9,16.2,33.566,59,0.07,0.32,0
102.09,14.109,33.2444,30,0.796,0.39,0.053
100.8,16.17,33.334,10,7.02,0.34,0.06
103.3,14.33,33.463,11,0.6,0.3,0.04
76.8,10.48,33.414,53,0.16,1.17,0.11
103.3,14.65,33.321,40,0.11,0.38,0.01
68.2,11.25,33.592,59,0.32,1.32,0.13
102.4,20.62,33.362,20,0.08,0.34,0
52,9.32,33.797,146,0.04,1.73,0.01
99.1,14.8,33.546,10,1.01,0.57,0.07
46.16,8.683,33.9013,200,0.011,1.98,0.017
106.8,18.64,33.555,20,0.22,0.23,0
89.5,14.77,33.61,0,2.02,0.68,0.08
51.6,9.51,33.767,125,0.01,1.75,0.01
106.5,12.3,32.905,6,1.06,0.34,0.12
99.3,14.82,33.545,0,1.02,0.57,0.07
104.8,19.88,33.573,10,0.14,0.32,0
50.2,9.66,33.789,117,0.01,1.79,0
68.97,10.949,33.4726,85,0.062,1.28,0.03
69.3,9.68,33.71,165,0.01,1.31,0
77.28,11.713,33.6812,30,1.856,1.38,0.27
50.8,9.84,33.741,100,0.01,1.76,0
103.8,14.55,33.28,30,0.38,0.44,0.03
71.4,11.32,33.666,71,0.12,1.26,0.02
45.5,10.39,33.807,43,0.25,1.82,0.05
41.4,9.05,33.92,144,0.01,1.99,0
41.4,8.84,33.989,199,0,2,0
105.4,14.92,33.577,20,0.4,0.52,0.18
103.4,14.49,33.23,0,0.36,0.37,0
51.1,10.17,33.987,180,0,1.63,0
41.7,8.94,33.881,100,0.02,2.06,0.01
93,13.73,33.495,11,0.69,0.73,0.09
39.9,9.46,33.943,150,0.01,2.03,0.01
67.4,11.43,33.517,42,0.46,1.33,0.11
37.6,10.44,33.892,100,0.02,1.98,0
83.1,12.14,33.299,41,0.62,1.01,0.28
92,12.64,33.299,50,0.45,0.73,0.37
105.1,12.94,32.887,40,0.38,0.47,0.06
92.3,11.87,33.596,60,0.34,0.93,0.23
102.3,17.98,33.491,2,0.12,0.28,0
72.5,11.11,33.33,84,0.17,1.19,0.04
52.4,10.62,33.79,125,0.03,1.62,0.01
50.9,8.45,33.75,200,0,1.82,0.01
50.8,9.11,33.768,170,0,1.82,0
67.5,10.94,33.533,100,0.07,1.36,0.02
98.36,13.144,33.089,46,0.847,0.54,0.266
63.8,10.51,33.594,50,0.38,1.28,0.39
104.9,16.96,33.836,75,0.15,0.18,0
60,11.99,33.695,146,0.02,1.33,0.02
102.5,16.75,33.35,0,0.09,0.29,0.01
70.2,10.75,33.752,194,0.01,1.13,0
100.6,14.46,33.176,50,0.75,0.44,0.04
92.9,17.74,34.02,59,0.41,0.5,0.2
75.65,10.347,33.163,125,0.164,1.25,0.031
81.6,11.1,33.503,58,0.16,1.11,0.12
36.3,9.43,33.985,200,0.07,2.1,0.11
94.8,12.93,33.264,94,0.1,0.59,0.04
89.3,13.21,33.423,30,0.52,0.81,0.11
103.2,14.52,33.55,0,0.65,0.31,0
102.1,14.09,33.002,10,0.23,0.28,0
104.4,13.49,33.229,19,3.66,0.36,0.04
109.5,21.05,33.677,11,0.48,0.23,0
101.5,14.89,33.282,2,0.17,0.3,0
87.95,11.647,33.2001,100,0.124,0.65,0.04
72.3,13.54,33.288,10,0.96,0.54,0.04
101.8,15.71,33.366,70,0.07,0.36,0
101.5,16.77,32.832,45,0.25,0.3,0
